is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,0.3416678110758464,0.8083349863688151,True,False,觀望 (動能減弱),40.20000076293945,2026-08-03 00:00:00,40.65055198669434,-0.039961814880371094,False,False,0.7895116628403278,False,0.0009265574316511749,36.23003920863334,0.0009351272254157413,0.0009438343959709218,-0.09637343035311385,2.6170244239002605,7.161835209632028,-0.09637343035311385,False,False,False,False,False,False,0.5518496935870018,False,-0.054117629107307,中性,1229.TW,聯華,73345695744.0,15.952381,1.3189409,4.46,3771822,Industrials,0.6508529833221145,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,157,0.5702479338842975,157,0.5702479338842975,186,0.4903581267217631,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.7916666666666666,0.8583329518636067,True,False,觀望 (動能減弱),37.20000076293945,2026-08-03 00:00:00,36.587500381469724,0.01499996185302166,False,True,0.39264172408611847,False,0.0008574113559745766,20.095582983210974,0.0008491188084358842,0.0008973057417086044,0.10290644870400989,3.16117432811156,3.080619822065933,0.10290644870400989,True,False,False,False,False,False,0.2899572520625716,False,-0.16964282597206026,中性,1235.TW,興泰,1691112064.0,nan,0.5898395,1.35,34031,Consumer Defensive,0.5539589070668409,0,v1,phase6a,2026-07-12,0,0,2,0,0,0,v1,158,0.5674931129476584,158,0.5674931129476584,187,0.48760330578512395,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,1.316666603088379,1.1166664759318032,True,False,買入 (動能增強),26.25,2026-08-03 00:00:00,25.01500005722046,0.06499996185302592,False,True,0.1853316326530612,False,0.000605028162170236,46.81823761207659,0.0005786757665308796,0.0005667848564968515,0.48166827015956315,4.262243313643332,10.286581685849283,0.48166827015956315,True,True,True,False,False,True,0.8071110252233649,False,-0.01869158878504673,偏強 (RS上升),1260.TWO,富味鄉,2680072448.0,12.867647,1.062151,7.75,45936,Consumer Defensive,0.832935033815986,4,v1,phase6a,2026-07-12,2,6,6,6,4,6,v1,3,0.9944903581267218,3,0.9944903581267218,2,0.9972451790633609,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
True,1,-0.3833332061767578,-0.1999994913736979,True,False,賣出 (動能轉弱),63.400001525878906,2026-08-03 00:00:00,63.92499980926514,-0.04500007629394531,False,False,0.7121559786016356,False,0.001461287101134959,47.6411067420336,0.001465818884580012,0.0014747742363210102,-0.032532985438415984,2.6347250374515463,7.138530371545193,-0.032532985438415984,False,False,False,False,False,False,0.5563160133890899,False,-0.024615361140324477,中性,1315.TW,達新,6056412160.0,41.168835,0.5887707,7.01,32899,Consumer Cyclical,0.7051523687260884,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,159,0.5647382920110193,159,0.5647382920110193,188,0.48484848484848486,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,0.7000001271565754,0.8500003814697265,True,False,觀望 (動能減弱),31.950000762939453,2026-08-03 00:00:00,31.887500190734862,-0.007499885559084873,False,True,1.4354918025768808,False,0.0007364057235405293,43.83572189434507,0.0007348019752215153,0.0007401922738106636,0.022979579715376452,3.410722850250214,8.024522000016955,0.022979579715376452,True,False,False,False,False,False,0.6196835959812881,False,-0.01993858103084356,中性,1321.TW,大洋,7050895360.0,nan,1.2169574,1.17,211403,Basic Materials,0.45113698908544936,0,v1,phase6a,2026-07-12,0,0,1,0,0,0,v1,160,0.5619834710743802,160,0.5619834710743802,189,0.4820936639118457,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.3333336512247721,-0.3583335876464843,True,False,觀察 (跌勢收斂),19.950000762939453,2026-08-03 00:00:00,20.042500019073486,-0.027499961853028054,True,False,0.584907550529909,False,0.0004598214208341358,33.559538998236484,0.00045914015673299786,0.0004636965360603193,0.015621202343685248,2.420446693216771,5.509793342780456,0.015621202343685248,True,False,False,False,False,False,0.5297951840622463,False,-0.026829231076124227,中性,1323.TW,永裕,1820936320.0,35.0,0.70659494,4.52,102819,Consumer Cyclical,0.61727296505272,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,89,0.7575757575757576,89,0.7575757575757576,120,0.6721763085399449,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.416666030883789,-0.5750001271565754,True,False,觀察 (跌勢收斂),44.400001525878906,2026-08-03 00:00:00,44.44500026702881,-0.05249996185302308,False,False,0.5771892357610309,False,0.001023361955183169,39.66509681769297,0.001018819469569442,0.0010228894129546253,0.046954432094570286,2.33817200037032,5.775720261115036,0.046954432094570286,True,True,False,False,False,False,0.6166271499363766,False,-0.0263157234297543,偏強 (RS上升),1339.TW,昭輝,3291105792.0,10.521328,0.80936235,5.66,186468,Consumer Cyclical,0.8516565953660757,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,90,0.7548209366391184,90,0.7548209366391184,121,0.6694214876033058,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,1,-0.3333333333333333,0.16666666666666666,True,False,賣出 (動能轉弱),57.70000076293945,2026-08-03 00:00:00,58.45,0.0,False,False,0.3679655950070803,False,0.0013299095397646657,48.48774485812555,0.001345085543745651,0.0013588576764150273,-0.11862287428360263,2.509593845301139,5.209071851295333,-0.11862287428360263,False,False,False,False,False,False,0.4887667870777231,False,-0.04470199825711285,中性,1341.TW,富林-KY,3049502720.0,14.176904,2.5695837,6.78,9486,Consumer Cyclical,0.6562083070777321,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,161,0.559228650137741,161,0.559228650137741,190,0.4793388429752066,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,False
True,0,-0.8583332697550454,-0.683333396911621,True,False,賣出 (動能轉弱),25.700000762939453,2026-08-03 00:00:00,26.252499866485596,-0.02499999999999858,False,False,0.3316014767517268,False,0.0005923513992142827,33.51005457251323,0.0005972099412438729,0.0006269588100762916,-0.08556252215056181,1.4460063729652806,7.337283001423467,-0.08556252215056181,False,False,False,False,False,False,0.5192023738186333,False,-0.06884056493730728,中性,1410.TW,南染,1593400064.0,48.49057,1.5247701,0.76,127148,Consumer Cyclical,0.2902182198722862,1,v1,phase6a,2026-07-12,0,1,1,1,1,1,v1,91,0.7520661157024794,91,0.7520661157024794,122,0.6666666666666666,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,True,False
True,0,2.083334604899088,1.933333079020182,True,False,買入 (動能增強),67.80000305175781,2026-08-03 00:00:00,67.07499961853027,-0.025000000000005684,False,True,1.3598266220721427,False,0.0015627013806301495,69.54830098976657,0.001550092907101436,0.0015523027456297626,0.08569454633529094,3.8979582787337597,7.361557595136525,0.08569454633529094,True,True,False,False,False,False,0.48940922654944413,False,-0.03281020645403254,偏強 (RS上升),1419.TW,新紡,20288268288.0,16.536587,0.99243236,2.66,173137,Consumer Cyclical,0.606045803843124,4,v1,phase6a,2026-07-12,0,4,5,4,4,4,v1,4,0.9917355371900827,4,0.9917355371900827,15,0.9614325068870524,^TWII,yfinance,2y,2026-08-03,scan_20260803_135450,False,True
