is_squeezed,energy_level,momentum,prev_momentum,squeeze_on,fired,Signal,Close,timestamp,ma20,ma20_slope,ma20_converging,close_above_ma20,volume_expansion_ratio,volume_expansion,rs_ratio,rs_index,rs_ema20,rs_ema60,rs_slope_1d,rs_slope_5d,rs_slope_20d,rs_slope,rs_above_ema20,rs_above_ema60,rs_ema20_above_ema60,rs_new_high_60,rs_new_high_120,rs_rising_10,rs_percentile_60,rs_high_price_not_high,price_dist_to_high_60,rs_signal,ticker,name,marketCap,trailingPE,priceToBook,dividendYield,averageVolume,sector,error,value_score,ranking_score,ranking_score_version,feature_schema_version,feature_schema_date,rs_component_score,experimental_score,shadow_score_ma20,shadow_score_rs,composite_score,composite_score_v2,score_version,rank_position_v1,ranking_percentile_v1,rank_position,ranking_percentile,rank_position_v2,ranking_percentile_v2,benchmark_symbol,benchmark_source,benchmark_period,benchmark_last_date,scan_id,has_houyi,has_whale
True,0,-0.4376373291015625,-0.12183125813802084,True,False,賣出 (動能轉弱),53.599998474121094,2026-07-29 00:00:00,54.93129138946533,-0.07025833129883097,False,False,0.4241002791561405,False,0.0013386887267037267,71.7831160646025,0.0012485818227870548,0.0012912042454941597,0.7654718016912199,1.7301640309759225,2.8054595369806146,0.7654718016912199,True,True,False,False,False,True,0.8257963231409227,False,-0.04206224184241458,偏強 (RS上升),1240.TWO,茂生農經,2370844672.0,11.07438,1.5219057,5.51,17528.0,Consumer Defensive,nan,0.7236644024129455,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,262,0.546875,262,0.546875,337,0.4166666666666667,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.9499998092651366,1.0166664123535154,True,False,觀望 (動能減弱),24.799999237060547,2026-07-29 00:00:00,24.830000114440917,0.034999942779538884,False,False,2.235939870695175,True,0.0006193932900379316,52.61680931588279,0.0005674867177997926,0.0005621148191544545,0.9721756923950942,4.7173312831161995,8.22963043259568,0.9721756923950942,True,True,True,False,False,True,0.9308134168101387,False,-0.07289722478278327,偏強 (RS上升),1260.TWO,富味鄉,2532030208.0,12.156862,1.0034797,7.65,47767.0,Consumer Defensive,nan,0.8396760334715027,0,v1,phase6a,2026-07-12,2,2,1,2,0,2,v1,263,0.5451388888888888,263,0.5451388888888888,268,0.5364583333333334,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,1.4585596720377603,1.7223739624023435,True,False,觀望 (動能減弱),255.0,2026-07-29 00:00:00,256.91519393920896,0.019474792480423275,False,False,1.1547464894786754,False,0.0063687618475263,50.86313318510541,0.005851955057377234,0.00603138274849177,0.9383390225869759,2.2730107008258837,3.8924280930313193,0.9383390225869759,True,True,False,False,False,True,0.9305551076911688,False,-0.015444015444015413,偏強 (RS上升),1264.TWO,德麥,9448259584.0,12.481645,2.8227637,5.84,32360.0,Consumer Defensive,nan,0.6224263639266635,0,v1,phase6a,2026-07-12,1,1,1,1,0,1,v1,264,0.5434027777777778,264,0.5434027777777778,338,0.4149305555555556,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
False,0,-1.7333329518636065,-1.6499996185302732,False,True,強烈賣出 (跌破),23.299999237060547,2026-07-29 00:00:00,25.935000038146974,-0.09999999999999787,True,False,1.53207536348255,True,0.0005819299850524827,50.528192109201676,0.0005847187080066509,0.0006231948717974015,-0.05017839895484766,-0.11314978630140304,-2.261348903452376,-0.05017839895484766,False,False,False,False,False,True,0.2717668431727591,False,-0.1752212659447594,中性,1293.TWO,利統,398292800.0,10.590908,nan,6.11,11505.0,Consumer Defensive,nan,0.7451242194311837,0,v1,phase6a,2026-07-12,0,0,0,0,0,0,v1,265,0.5416666666666666,265,0.5416666666666666,533,0.0763888888888889,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-1.5833333333333333,-0.8333333333333333,True,False,賣出 (動能轉弱),46.54999923706055,2026-07-29 00:00:00,48.86750030517578,-0.0625,False,False,1.506877592743296,True,0.0011626112123269395,40.59897619142091,0.001106520534181729,0.0012248100356040546,0.5364523645580821,0.9379340524263924,1.914193625309779,0.5364523645580821,True,False,False,False,False,True,0.4489748029049172,False,-0.16875001362391884,偏強 (RS上升),1295.TWO,生合,1609577600.0,8.84981,1.2831467,6.37,73924.0,Healthcare,nan,0.8078282260059054,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,266,0.5399305555555556,266,0.5399305555555556,339,0.4131944444444444,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
False,0,-0.7166674931844075,-0.6416676839192708,False,True,強烈賣出 (跌破),30.649999618530273,2026-07-29 00:00:00,32.26245813369751,-0.07710886001586914,False,False,1.3028829988353994,False,0.0007655001890085932,64.86290221052269,0.0007299014703947804,0.0007443980778477285,0.5160382392751295,1.0275506411670188,1.3673420064936659,0.5160382392751295,True,True,False,False,False,True,0.8833059975547543,False,-0.1268223546664342,偏強 (RS上升),1307.TW,三芳,12193121280.0,11.227106,1.24832,7.1,1213034.0,Consumer Cyclical,nan,0.8048894665141009,0,v1,phase6a,2026-07-12,1,1,0,1,0,1,v1,267,0.5381944444444444,267,0.5381944444444444,340,0.4114583333333333,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,0.13333320617675778,0.3333333333333333,True,False,觀望 (動能減弱),63.0,2026-07-29 00:00:00,63.910000038146975,0.025000000000005684,False,False,1.6456724783976548,True,0.0015734588093888507,56.21360489644579,0.001450894929631891,0.0014709424509659283,0.8971849531114628,2.2946739140055517,5.905478964734656,0.8971849531114628,True,True,False,True,False,True,1.0,True,-0.03076923076923077,強勢 (RS強勁),1315.TW,達新,6018201088.0,40.64516,0.585056,7.06,32591.0,Consumer Cyclical,nan,0.6985309006750365,2,v1,phase6a,2026-07-12,2,4,3,4,2,4,v1,40,0.9322916666666666,40,0.9322916666666666,46,0.921875,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,True
True,0,0.5666672388712565,0.4333333969116211,True,False,買入 (動能增強),32.150001525878906,2026-07-29 00:00:00,31.820000076293944,0.05250005722045614,False,True,2.1288257678312688,True,0.0008029635416310977,49.4247160699812,0.0007247265331915489,0.0007375742547741326,1.1494176338303408,3.066495918187573,6.6034146938561245,1.1494176338303408,True,True,False,True,False,True,1.0,True,-0.012288716453369819,強勢 (RS強勁),1321.TW,大洋,7095032832.0,nan,1.2245754,1.18,212433.0,Basic Materials,nan,0.4386394521399077,2,v1,phase6a,2026-07-12,2,4,4,4,2,4,v1,41,0.9305555555555556,41,0.9305555555555556,47,0.9201388888888888,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,0,-0.4249998728434245,-0.48333326975504554,True,False,觀察 (跌勢收斂),19.899999618530273,2026-07-29 00:00:00,20.10250005722046,0.012500000000002842,False,False,0.7926854252884329,False,0.0004970131699462099,40.136389167279674,0.0004553110136046158,0.0004629519005434004,0.9734959385583108,1.9710000932300131,4.524881826615945,0.9734959385583108,True,True,False,True,False,True,1.0,True,-0.029268311291206217,強勢 (RS強勁),1323.TW,永裕,1816372480.0,34.91228,0.704824,4.55,109104.0,Consumer Cyclical,nan,0.6170454880146096,1,v1,phase6a,2026-07-12,2,3,2,3,1,3,v1,127,0.78125,127,0.78125,131,0.7743055555555556,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
True,1,-0.525000254313151,-0.29166666666666663,True,False,賣出 (動能轉弱),43.5,2026-07-29 00:00:00,44.562500190734866,-0.022500038146972656,False,False,1.8078160834026928,True,0.0010864358445780158,44.28749523246161,0.0010099607772936863,0.0010205004623689365,0.8034654703696464,2.099109360468998,4.7778081406664175,0.8034654703696464,True,True,False,True,False,True,1.0,True,-0.04605259965771458,強勢 (RS強勁),1339.TW,昭輝,3224393984.0,18.049791,0.79295635,5.66,188015.0,Consumer Cyclical,nan,0.7454080734075927,0,v1,phase6a,2026-07-12,2,2,0,2,0,2,v1,268,0.5364583333333334,268,0.5364583333333334,269,0.5347222222222222,^TWII,yfinance,2y,2026-07-29,scan_20260729_131435,False,False
